,c_code_1,state_name_1,year,num_alliances,pre_1816_alliances,num_in_effect_1231_2012,defense_treaties,neutrality_treaties,nonaggression_treaties,entente_treaties
352,300,Austria-Hungary,1839,17,8,0,15,0,8.0,12.0
353,640,Turkey,1839,1,0,0,1,0,0.0,1.0
354,220,France,1839,3,0,0,0,0,0.0,3.0
355,235,Portugal,1839,4,1,1,1,0,1.0,3.0
356,365,Russia,1839,9,0,0,7,0,0.0,5.0
357,267,Baden,1839,8,7,0,8,0,8.0,8.0
358,380,Sweden,1839,1,1,0,0,0,0.0,1.0
359,230,Spain,1839,3,0,0,3,0,0.0,3.0
360,245,Bavaria,1839,8,7,0,8,0,8.0,8.0
361,325,Italy,1839,2,0,0,2,0,0.0,0.0
362,271,Wuerttemburg,1839,8,7,0,8,0,8.0,8.0
363,240,Hanover,1839,8,0,0,8,0,8.0,8.0
364,245,Bavaria,1840,8,7,0,8,0,8.0,8.0
365,325,Italy,1840,2,0,0,2,0,0.0,0.0
366,255,Germany,1840,17,7,0,15,0,8.0,11.0
367,640,Turkey,1840,5,0,0,1,0,0.0,1.0
368,380,Sweden,1840,1,1,0,0,0,0.0,1.0
369,200,United Kingdom,1840,6,2,1,5,0,1.0,1.0
370,273,Hesse Electoral,1840,8,7,0,8,0,8.0,8.0
371,267,Baden,1840,8,7,0,8,0,8.0,8.0
372,365,Russia,1840,11,0,0,9,0,0.0,5.0
373,271,Wuerttemburg,1840,8,7,0,8,0,8.0,8.0
374,240,Hanover,1840,8,0,0,8,0,8.0,8.0
375,300,Austria-Hungary,1840,19,8,0,17,0,8.0,12.0
376,337,Tuscany,1840,1,1,0,1,0,0.0,1.0
377,269,Saxony,1840,8,7,0,8,0,8.0,8.0
378,275,Hesse Grand Ducal,1840,8,7,0,8,0,8.0,8.0
379,235,Portugal,1840,1,1,1,1,0,1.0,0.0
380,329,Two Sicilies,1840,1,0,0,1,0,0.0,0.0
381,245,Bavaria,1841,8,7,0,8,0,8.0,8.0
382,329,Two Sicilies,1841,1,0,0,1,0,0.0,0.0
383,271,Wuerttemburg,1841,8,7,0,8,0,8.0,8.0
384,325,Italy,1841,2,0,0,2,0,0.0,0.0
385,640,Turkey,1841,1,0,0,1,0,0.0,1.0
386,255,Germany,1841,13,7,0,11,0,8.0,11.0
