,dispute_id,c_code_1,state_name_abb_a,c_code_2,state_name_abb_b,year,outcome,settlement_type,total_fatality_bin,num_with,num_against,revision_sought,revision_type,state_fatality_bin,hostility_level,origin_participant,war,year_num,cumulative_duration,ongoing_2010,date_start,date_end,initiator
3675,51,640,TUR,710,CHN,1950,N/A,N/A,None Value,2,17,0,N/A,None Value,5,0,1,1,75,0,1950-10-18,1953-07-27,0.0
3676,51,731,PRK,2,USA,1950,N/A,N/A,None Value,2,17,1,Territory,None Value,5,1,1,1,188,0,1950-06-27,1953-07-27,1.0
3677,51,20,CAN,731,PRK,1950,N/A,N/A,None Value,2,17,0,N/A,None Value,3,0,0,1,186,0,1950-06-29,1953-07-27,0.0
3678,51,900,AUL,710,CHN,1950,N/A,N/A,None Value,2,17,0,N/A,251-500,5,0,1,1,93,0,1950-09-30,1953-07-27,0.0
3679,1112,42,DOM,41,HAI,1950,Stalemate,Negotiated,None Value,1,1,1,Regime/Government,None Value,4,1,0,2,130,0,1949-09-25,1950-01-31,1.0
3680,51,350,GRC,710,CHN,1950,N/A,N/A,None Value,2,17,0,N/A,None Value,5,0,1,1,27,0,1950-12-09,1953-07-27,1.0
3681,51,710,CHN,350,GRC,1950,N/A,N/A,None Value,2,17,0,N/A,None Value,5,0,1,1,27,0,1950-12-09,1953-07-27,1.0
3682,51,350,GRC,731,PRK,1950,N/A,N/A,None Value,2,17,0,N/A,None Value,5,0,1,1,27,0,1950-12-09,1953-07-27,1.0
3683,51,731,PRK,350,GRC,1950,N/A,N/A,None Value,2,17,0,N/A,None Value,5,0,1,1,27,0,1950-12-09,1953-07-27,1.0
3684,1306,700,AFG,770,PAK,1950,Stalemate,None Value,101-250,1,1,1,Territory,26-100,4,1,0,1,111,0,1950-06-17,1950-10-05,1.0
3685,1306,770,PAK,700,AFG,1950,Stalemate,None Value,101-250,1,1,0,N/A,26-100,4,1,0,1,111,0,1950-06-17,1950-10-05,0.0
3686,1308,750,IND,770,PAK,1950,Stalemate,None Value,26-100,1,1,0,N/A,1-25,4,1,0,1,111,0,1950-02-23,1950-06-13,1.0
3687,1308,770,PAK,750,IND,1950,Stalemate,None Value,26-100,1,1,1,Territory,1-25,4,1,0,1,111,0,1950-02-23,1950-06-13,0.0
3688,1286,365,RUS,345,YUG,1950,N/A,N/A,None Value,4,2,1,Policy,None Value,3,1,0,2,506,0,1949-08-13,1951-11-24,1.0
3689,1286,345,YUG,365,RUS,1950,N/A,N/A,None Value,4,2,0,N/A,None Value,4,1,0,2,506,0,1949-08-13,1951-11-24,0.0
3690,1286,360,ROM,345,YUG,1950,N/A,N/A,None Value,4,2,1,Policy,None Value,4,0,0,1,338,0,1950-01-28,1951-11-24,1.0
3691,1286,345,YUG,360,ROM,1950,N/A,N/A,None Value,4,2,0,N/A,None Value,4,1,0,1,338,0,1950-01-28,1951-11-24,0.0
3692,1286,355,BUL,345,YUG,1950,N/A,N/A,None Value,4,2,1,Policy,None Value,4,0,0,1,179,0,1950-07-06,1951-11-24,1.0
3693,3370,666,ISR,651,EGY,1950,N/A,N/A,None Value,1,1,0,N/A,None Value,4,1,0,1,56,0,1950-11-06,1951-04-07,1.0
3694,1286,345,YUG,355,BUL,1950,N/A,N/A,None Value,4,2,0,N/A,None Value,4,1,0,1,179,0,1950-07-06,1951-11-24,0.0
3695,3370,651,EGY,666,ISR,1950,N/A,N/A,None Value,1,1,1,Territory,None Value,4,1,0,1,56,0,1950-11-06,1951-04-07,0.0
3696,1286,345,YUG,310,HUN,1950,N/A,N/A,None Value,4,2,0,N/A,None Value,4,1,0,2,496,0,1949-08-23,1951-11-24,0.0
3697,1286,310,HUN,345,YUG,1950,N/A,N/A,None Value,4,2,1,Policy,None Value,4,0,0,2,496,0,1949-08-23,1951-11-24,1.0
3698,51,2,USA,710,CHN,1950,N/A,N/A,None Value,2,17,0,N/A,None Value,5,0,1,1,93,0,1950-09-30,1953-07-27,0.0
3699,51,731,PRK,210,NTH,1950,N/A,N/A,None Value,2,17,0,N/A,None Value,5,0,1,1,27,0,1950-12-05,1953-07-27,1.0
3700,51,710,CHN,2,USA,1950,N/A,N/A,None Value,2,17,0,N/A,None Value,5,0,1,1,93,0,1950-09-30,1953-07-27,1.0
